filter,model,sequences,label_0,label_1,accuracy,precision,recall,f1,auc
baseline,market_lstm,3866,1989,1877,0.48578811369509045,0.4511784511784512,0.788235294117647,0.5738758029978587,0.572865275142315
baseline,market_bilstm,3866,1989,1877,0.5012919896640827,0.45740740740740743,0.7264705882352941,0.5613636363636364,0.571096503117376
baseline,concat_fusion,3866,1989,1877,0.45478036175710596,0.43492063492063493,0.8058823529411765,0.5649484536082474,0.494144754676064
baseline,attention_fusion,3866,1989,1877,0.5400516795865633,0.4772727272727273,0.49411764705882355,0.48554913294797686,0.5447004608294931
news_count_ge2,market_lstm,2238,1162,1076,0.5200892857142857,0.4769736842105263,0.7213930348258707,0.5742574257425742,0.5613632243640099
news_count_ge2,market_bilstm,2238,1162,1076,0.5334821428571429,0.4875,0.7761194029850746,0.5988483685220729,0.560839527061051
news_count_ge2,concat_fusion,2238,1162,1076,0.484375,0.45161290322580644,0.6965174129353234,0.547945205479452,0.4988015388643825
news_count_ge2,attention_fusion,2238,1162,1076,0.5446428571428571,0.49407114624505927,0.6218905472636815,0.5506607929515418,0.5586037424214958
news_count_ge3,market_lstm,1490,780,710,0.5134228187919463,0.4502923976608187,0.6015625,0.5150501672240803,0.5119944852941176
news_count_ge3,market_bilstm,1490,780,710,0.5167785234899329,0.45348837209302323,0.609375,0.52,0.5246783088235294
news_count_ge3,concat_fusion,1490,780,710,0.4597315436241611,0.4195121951219512,0.671875,0.5165165165165165,0.4620863970588235
news_count_ge3,attention_fusion,1490,780,710,0.5,0.44502617801047123,0.6640625,0.5329153605015674,0.5306985294117647
source_count_ge2,market_lstm,1442,748,694,0.4982698961937716,0.4647887323943662,0.7615384615384615,0.577259475218659,0.5024189646831156
source_count_ge2,market_bilstm,1442,748,694,0.5121107266435986,0.47150259067357514,0.7,0.5634674922600619,0.5614900822447992
source_count_ge2,concat_fusion,1442,748,694,0.43944636678200694,0.43700787401574803,0.8538461538461538,0.578125,0.47102080309627475
source_count_ge2,attention_fusion,1442,748,694,0.5086505190311419,0.46875,0.6923076923076923,0.5590062111801242,0.5654571843251088
sentiment_abs_top50,market_lstm,1927,1004,923,0.4948186528497409,0.4612794612794613,0.7965116279069767,0.5842217484008528,0.5377906976744187
sentiment_abs_top50,market_bilstm,1927,1004,923,0.4896373056994819,0.45791245791245794,0.7906976744186046,0.579957356076759,0.5303194957617908
sentiment_abs_top50,concat_fusion,1927,1004,923,0.46632124352331605,0.44333333333333336,0.7732558139534884,0.5635593220338984,0.4891327972179961
sentiment_abs_top50,attention_fusion,1927,1004,923,0.4585492227979275,0.44272445820433437,0.8313953488372093,0.5777777777777777,0.5208378613344925
sentiment_abs_top30,market_lstm,1157,596,561,0.5,0.47305389221556887,0.7383177570093458,0.5766423357664233,0.5163364485981309
sentiment_abs_top30,market_bilstm,1157,596,561,0.46120689655172414,0.45408163265306123,0.8317757009345794,0.5874587458745875,0.5185046728971963
sentiment_abs_top30,concat_fusion,1157,596,561,0.4267241379310345,0.43010752688172044,0.7476635514018691,0.5460750853242321,0.45517757009345794
sentiment_abs_top30,attention_fusion,1157,596,561,0.49137931034482757,0.46405228758169936,0.6635514018691588,0.5461538461538461,0.4931588785046728
