source_setting,model,sequences,label_0,label_1,accuracy,precision,recall,f1,auc
only_10jqka,market_lstm,2946,1541,1405,0.5084745762711864,0.4274611398963731,0.7051282051282052,0.532258064516129,0.5956376644578891
only_10jqka,market_bilstm,2946,1541,1405,0.5169491525423728,0.4330708661417323,0.7051282051282052,0.5365853658536586,0.5760707769134735
only_10jqka,concat_fusion,2946,1541,1405,0.4322033898305085,0.39879759519038077,0.8504273504273504,0.5429740791268759,0.4791486603284356
only_10jqka,attention_fusion,2946,1541,1405,0.511864406779661,0.4318181818181818,0.7307692307692307,0.5428571428571428,0.5836814558724671
only_sina,market_lstm,1567,833,734,0.5477707006369427,0.44,0.6363636363636364,0.5202702702702703,0.5436988823705733
only_sina,market_bilstm,1567,833,734,0.5127388535031847,0.41397849462365593,0.6363636363636364,0.501628664495114,0.5561169871108637
only_sina,concat_fusion,1567,833,734,0.42356687898089174,0.3920863309352518,0.9008264462809917,0.5463659147869674,0.4850768637862374
only_sina,attention_fusion,1567,833,734,0.49044585987261147,0.4,0.6446280991735537,0.4936708860759494,0.5131674731297906
only_eastmoney,market_lstm,1402,720,682,0.48398576512455516,0.5139664804469274,0.6133333333333333,0.5592705167173252,0.496030534351145
only_eastmoney,market_bilstm,1402,720,682,0.5587188612099644,0.5677083333333334,0.7266666666666667,0.6374269005847953,0.535826972010178
only_eastmoney,concat_fusion,1402,720,682,0.4412811387900356,0.48186528497409326,0.62,0.5422740524781341,0.3991857506361323
only_eastmoney,attention_fusion,1402,720,682,0.5480427046263345,0.5602094240837696,0.7133333333333334,0.6275659824046921,0.5329770992366413
10jqka_sina,market_lstm,1059,570,489,0.5660377358490566,0.46601941747572817,0.5647058823529412,0.5106382978723404,0.5889763779527559
10jqka_sina,market_bilstm,1059,570,489,0.5188679245283019,0.42201834862385323,0.5411764705882353,0.4742268041237113,0.5977767484946734
10jqka_sina,concat_fusion,1059,570,489,0.42924528301886794,0.40625,0.9176470588235294,0.5631768953068592,0.5011579434923576
10jqka_sina,attention_fusion,1059,570,489,0.5188679245283019,0.4351145038167939,0.6705882352941176,0.5277777777777778,0.5916628068550255
10jqka_eastmoney,market_lstm,897,482,415,0.5444444444444444,0.5301204819277109,0.5057471264367817,0.5176470588235295,0.5621060437523174
10jqka_eastmoney,market_bilstm,897,482,415,0.5555555555555556,0.5454545454545454,0.4827586206896552,0.5121951219512195,0.5700160672351997
10jqka_eastmoney,concat_fusion,897,482,415,0.5111111111111111,0.49056603773584906,0.2988505747126437,0.37142857142857144,0.5006797676430602
10jqka_eastmoney,attention_fusion,897,482,415,0.5166666666666667,0.5,0.6551724137931034,0.5671641791044776,0.5418366085774318
sina_eastmoney,market_lstm,1016,538,478,0.4411764705882353,0.4012345679012346,0.7926829268292683,0.5327868852459017,0.5148940423830468
sina_eastmoney,market_bilstm,1016,538,478,0.5392156862745098,0.4444444444444444,0.5853658536585366,0.5052631578947369,0.5466813274690125
sina_eastmoney,concat_fusion,1016,538,478,0.4068627450980392,0.3872832369942196,0.8170731707317073,0.5254901960784314,0.4426229508196721
sina_eastmoney,attention_fusion,1016,538,478,0.45588235294117646,0.39568345323741005,0.6707317073170732,0.497737556561086,0.4884046381447421
drop_astock,market_lstm,1346,706,640,0.5296296296296297,0.5,0.7244094488188977,0.5916398713826366,0.5692417818402071
drop_astock,market_bilstm,1346,706,640,0.5777777777777777,0.5467625899280576,0.5984251968503937,0.5714285714285714,0.5958922966796982
drop_astock,concat_fusion,1346,706,640,0.44814814814814813,0.44907407407407407,0.7637795275590551,0.565597667638484,0.47122955784373105
drop_astock,attention_fusion,1346,706,640,0.5481481481481482,0.5133689839572193,0.7559055118110236,0.6114649681528662,0.593799900886515
all_4_sources_source_ge2,market_lstm,1442,748,694,0.4982698961937716,0.4647887323943662,0.7615384615384615,0.577259475218659,0.5024189646831156
all_4_sources_source_ge2,market_bilstm,1442,748,694,0.5121107266435986,0.47150259067357514,0.7,0.5634674922600619,0.5614900822447992
all_4_sources_source_ge2,concat_fusion,1442,748,694,0.43944636678200694,0.43700787401574803,0.8538461538461538,0.578125,0.47102080309627475
all_4_sources_source_ge2,attention_fusion,1442,748,694,0.5086505190311419,0.46875,0.6923076923076923,0.5590062111801242,0.5654571843251088
